"Gender","Customer Type","Age","Type of Travel","Class","Flight Distance","Inflight wifi service","Departure/Arrival time convenient","Ease of Online booking","Gate location","Food and drink","Online boarding","Seat comfort","Inflight entertainment","On-board service","Leg room service","Baggage handling","Checkin service","Inflight service","Cleanliness","Departure Delay in Minutes","Arrival Delay in Minutes","satisfaction"
"Male","Loyal Customer",60,"Business travel","Business",3998,"3","3","2","3","4","4","4","5","5","5","5","3","5","4",40,37,"satisfied"
"Female","Loyal Customer",31,"Personal Travel","Eco",944,"2","5","2","5","5","2","3","5","1","4","4","2","3","5",0,NA,"neutral or dissatisfied"
"Male","Loyal Customer",8,"Personal Travel","Eco",234,"3","4","3","5","5","3","5","5","3","5","5","4","5","5",0,26,"neutral or dissatisfied"
"Female","Loyal Customer",61,"Personal Travel","Eco",240,"1","1","1","4","3","3","4","3","3","1","3","4","3","3",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",63,"Personal Travel","Eco",328,"4","4","4","2","1","4","2","1","1","4","4","5","1","1",0,0,"satisfied"
"Male","Loyal Customer",31,"Business travel","Business",3652,"1","0","0","3","1","0","1","1","3","5","3","3","4","1",0,7,"neutral or dissatisfied"
"Male","Loyal Customer",9,"Personal Travel","Business",1416,"2","4","1","3","1","4","4","4","4","4","4","4","3","4",147,147,"neutral or dissatisfied"
"Female","Loyal Customer",40,"Business travel","Business",2106,"1","1","1","1","2","5","5","4","4","4","4","4","4","4",7,20,"satisfied"
"Female","Loyal Customer",61,"Personal Travel","Eco",526,"4","5","4","4","4","4","4","1","1","4","1","4","1","5",0,0,"satisfied"
"Female","disloyal Customer",28,"Business travel","Eco",909,"1","1","1","2","5","1","1","5","1","1","1","2","3","5",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",40,"Business travel","Business",3718,"4","3","3","3","5","4","3","4","4","4","4","4","4","4",4,10,"neutral or dissatisfied"
"Female","disloyal Customer",38,"Business travel","Eco",516,"3","0","4","4","4","4","4","4","1","5","3","4","4","4",7,11,"neutral or dissatisfied"
"Male","Loyal Customer",31,"Business travel","Business",1175,"2","4","4","4","2","3","2","2","1","4","4","3","3","2",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",48,"Personal Travel","Eco",599,"2","5","2","4","3","2","3","3","5","5","3","1","2","3",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",32,"Personal Travel","Eco",480,"1","3","1","3","2","1","4","2","4","5","3","1","3","2",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",52,"Personal Travel","Eco Plus",459,"2","4","2","5","5","4","4","2","2","2","2","5","2","3",1,0,"neutral or dissatisfied"
"Female","Loyal Customer",48,"Business travel","Business",704,"2","4","2","2","4","4","4","3","3","3","3","4","3","5",8,0,"satisfied"
"Female","disloyal Customer",26,"Business travel","Eco Plus",674,"3","5","4","2","4","4","4","4","3","3","1","3","1","4",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",54,"Business travel","Eco",834,"1","5","3","5","5","3","2","1","1","1","1","4","1","4",0,1,"neutral or dissatisfied"
"Female","Loyal Customer",19,"Personal Travel","Eco",726,"1","3","0","1","1","0","1","1","1","2","4","1","3","1",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",25,"Business travel","Eco",967,"0","5","0","3","2","0","5","2","5","2","2","3","3","2",79,96,"satisfied"
"Female","Loyal Customer",53,"Business travel","Eco",403,"2","1","5","5","1","2","3","2","2","2","2","1","2","5",3,11,"satisfied"
"Female","Loyal Customer",10,"Personal Travel","Eco",883,"2","4","2","5","2","2","2","2","5","1","1","2","4","2",3,4,"neutral or dissatisfied"
"Male","disloyal Customer",49,"Business travel","Business",283,"2","2","2","4","5","2","5","5","4","4","4","5","4","5",5,10,"neutral or dissatisfied"
"Female","Loyal Customer",56,"Business travel","Business",362,"5","5","3","5","4","5","5","5","5","5","5","5","5","5",25,26,"satisfied"
"Male","Loyal Customer",68,"Personal Travel","Eco",2614,"2","3","2","2","2","3","3","1","2","3","4","3","5","3",0,22,"neutral or dissatisfied"
"Male","disloyal Customer",23,"Business travel","Eco",534,"3","1","4","4","4","4","4","4","4","5","3","1","4","4",0,1,"neutral or dissatisfied"
"Female","Loyal Customer",51,"Business travel","Business",2565,"1","1","1","1","3","3","3","3","5","3","5","3","4","3",61,67,"satisfied"
"Male","Loyal Customer",56,"Business travel","Eco",196,"4","5","5","5","4","4","4","4","3","4","4","2","4","4",52,39,"neutral or dissatisfied"
"Male","Loyal Customer",50,"Personal Travel","Eco",859,"3","4","3","3","2","3","2","2","2","5","3","5","4","2",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",45,"Business travel","Eco",397,"4","4","4","4","3","3","2","4","4","4","4","2","4","1",1,6,"satisfied"
"Female","disloyal Customer",27,"Business travel","Business",1310,"0","0","0","1","1","0","1","1","5","4","4","5","4","1",2,0,"satisfied"
"Male","Loyal Customer",20,"Personal Travel","Eco Plus",528,"3","3","3","1","3","3","2","3","3","2","5","3","3","3",0,0,"neutral or dissatisfied"
"Male","disloyal Customer",27,"Business travel","Eco",1126,"4","4","4","4","1","4","1","1","2","5","4","3","4","1",0,6,"neutral or dissatisfied"
"Male","Loyal Customer",21,"Personal Travel","Eco",666,"1","4","1","4","1","2","3","3","2","5","4","3","5","3",133,119,"neutral or dissatisfied"
"Female","Loyal Customer",42,"Personal Travel","Eco",472,"2","4","2","2","2","3","4","2","2","2","2","3","2","4",32,16,"neutral or dissatisfied"
"Female","Loyal Customer",42,"Personal Travel","Business",1190,"3","4","3","2","4","5","5","5","5","3","5","3","5","5",26,29,"neutral or dissatisfied"
"Male","Loyal Customer",12,"Personal Travel","Eco",577,"0","3","0","4","3","3","3","3","2","1","3","4","4","3",0,0,"satisfied"
"Female","Loyal Customer",43,"Personal Travel","Eco",516,"1","4","1","1","2","2","1","4","4","1","4","1","4","3",5,0,"neutral or dissatisfied"
"Male","Loyal Customer",48,"Business travel","Eco",196,"4","1","1","1","4","4","4","4","1","5","4","2","4","4",1,0,"neutral or dissatisfied"
"Male","Loyal Customer",16,"Personal Travel","Eco",570,"1","5","1","2","2","1","2","2","3","4","5","5","4","2",3,0,"neutral or dissatisfied"
"Male","Loyal Customer",30,"Personal Travel","Eco",2239,"2","4","2","2","4","2","4","4","4","3","4","3","5","4",0,0,"neutral or dissatisfied"
"Male","disloyal Customer",48,"Business travel","Business",216,"4","4","4","3","1","4","1","1","2","5","1","1","5","1",3,1,"neutral or dissatisfied"
"Female","Loyal Customer",41,"Business travel","Business",451,"4","4","4","4","4","4","4","3","3","3","3","5","3","4",0,0,"satisfied"
"Male","disloyal Customer",26,"Business travel","Business",236,"3","4","3","3","1","3","1","1","3","3","4","3","4","1",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",31,"Personal Travel","Eco",500,"4","4","3","5","4","3","4","4","4","2","4","5","4","4",0,0,"satisfied"
"Female","Loyal Customer",60,"Business travel","Business",1584,"2","4","4","4","4","3","3","2","2","2","2","2","2","1",2,0,"neutral or dissatisfied"
"Female","Loyal Customer",58,"Business travel","Business",3319,"1","1","1","1","3","4","4","5","5","5","5","4","5","4",0,0,"satisfied"
"Male","Loyal Customer",40,"Business travel","Eco",1576,"3","4","4","4","3","3","3","3","3","1","3","4","4","3",0,0,"neutral or dissatisfied"
"Male","disloyal Customer",55,"Business travel","Business",271,"5","4","4","2","1","5","1","1","2","1","3","3","5","1",26,4,"satisfied"
"Female","disloyal Customer",24,"Business travel","Eco",874,"2","2","2","3","5","2","5","5","1","2","4","3","3","5",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",58,"Business travel","Business",1814,"1","1","1","1","2","4","4","4","4","4","4","4","4","5",33,40,"satisfied"
"Female","Loyal Customer",41,"Business travel","Business",594,"4","4","4","4","5","5","5","4","5","5","5","5","3","5",166,165,"satisfied"
"Female","Loyal Customer",26,"Personal Travel","Eco",223,"5","4","5","1","5","5","5","5","5","4","5","5","4","5",96,87,"satisfied"
"Female","Loyal Customer",40,"Business travel","Business",2005,"2","2","2","2","3","4","5","4","4","4","4","5","4","3",0,2,"satisfied"
"Male","disloyal Customer",38,"Business travel","Business",296,"3","3","3","4","3","3","2","3","5","4","4","4","4","3",0,0,"neutral or dissatisfied"
"Male","disloyal Customer",44,"Business travel","Eco Plus",752,"1","1","1","2","3","1","3","3","2","2","1","2","3","3",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",60,"Personal Travel","Eco",2342,"1","4","1","4","1","1","1","1","1","1","5","1","2","1",7,0,"neutral or dissatisfied"
"Male","Loyal Customer",55,"Business travel","Business",3253,"5","5","4","5","4","4","5","4","4","4","4","5","4","4",43,34,"satisfied"
"Male","disloyal Customer",25,"Business travel","Eco",383,"1","3","1","2","3","1","3","3","4","5","3","2","2","3",12,12,"neutral or dissatisfied"
"Female","Loyal Customer",68,"Personal Travel","Eco",566,"1","5","1","2","3","4","5","5","5","1","2","3","5","5",5,10,"neutral or dissatisfied"
"Male","disloyal Customer",26,"Business travel","Business",1618,"3","3","3","1","2","3","2","2","4","2","3","5","5","2",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",28,"Business travel","Business",3449,"1","1","1","1","5","5","5","5","5","3","4","3","4","5",0,0,"satisfied"
"Male","Loyal Customer",56,"Personal Travel","Eco",544,"2","5","2","4","3","2","3","3","2","1","3","2","3","3",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",12,"Personal Travel","Eco",125,"0","5","0","3","5","0","5","5","4","5","3","3","3","5",4,4,"satisfied"
"Male","Loyal Customer",44,"Business travel","Business",1011,"5","5","5","5","3","4","4","5","5","5","5","3","5","4",5,20,"satisfied"
"Female","Loyal Customer",26,"Personal Travel","Eco",587,"3","4","4","2","2","4","2","2","5","3","5","5","5","2",66,NA,"neutral or dissatisfied"
"Male","Loyal Customer",66,"Personal Travel","Eco",721,"1","5","1","4","1","1","1","1","3","4","4","2","4","1",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",53,"Business travel","Business",2704,"4","4","4","4","2","4","4","4","4","4","4","5","4","5",1,6,"satisfied"
"Male","Loyal Customer",52,"Personal Travel","Eco",173,"3","2","3","4","5","3","5","5","1","2","3","1","4","5",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",35,"Business travel","Eco",551,"4","1","5","5","4","4","4","2","2","4","1","4","4","4",175,175,"satisfied"
"Female","Loyal Customer",44,"Business travel","Business",1276,"1","1","1","1","2","4","4","4","4","4","4","4","4","3",18,13,"satisfied"
"Female","disloyal Customer",23,"Business travel","Business",1179,"4","0","4","3","4","4","4","4","5","5","5","3","5","4",0,0,"satisfied"
"Male","Loyal Customer",50,"Business travel","Business",2600,"1","2","1","1","3","5","4","4","4","4","4","5","4","3",16,22,"satisfied"
"Male","Loyal Customer",32,"Personal Travel","Eco",912,"3","4","3","1","5","3","5","5","3","3","4","5","4","5",7,0,"neutral or dissatisfied"
"Male","disloyal Customer",25,"Business travel","Business",611,"4","0","4","2","4","4","4","4","5","4","4","3","4","4",2,0,"satisfied"
"Male","Loyal Customer",38,"Business travel","Eco",569,"4","5","5","5","4","4","4","4","1","2","4","1","4","4",120,115,"neutral or dissatisfied"
"Male","Loyal Customer",49,"Business travel","Business",1514,"2","2","2","2","1","3","4","2","2","2","2","3","2","3",0,7,"neutral or dissatisfied"
"Male","Loyal Customer",54,"Personal Travel","Eco",746,"3","2","3","4","5","3","5","5","4","1","3","2","4","5",99,101,"neutral or dissatisfied"
"Female","Loyal Customer",55,"Personal Travel","Eco",928,"2","3","2","5","5","5","5","3","3","2","5","5","3","2",15,9,"neutral or dissatisfied"
"Female","Loyal Customer",57,"Business travel","Eco",803,"3","1","2","1","4","3","3","3","3","3","3","4","3","2",55,51,"neutral or dissatisfied"
"Male","Loyal Customer",17,"Personal Travel","Eco",373,"4","3","4","3","4","4","4","4","4","2","2","5","3","4",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",57,"Business travel","Eco",409,"5","3","2","3","5","5","5","5","3","5","4","5","2","5",179,168,"satisfied"
"Male","Loyal Customer",65,"Business travel","Business",258,"1","4","4","4","5","4","3","1","1","1","1","3","1","3",64,60,"neutral or dissatisfied"
"Male","Loyal Customer",32,"Personal Travel","Eco Plus",1080,"2","5","2","1","1","2","1","1","5","5","4","5","5","1",6,14,"neutral or dissatisfied"
"Female","disloyal Customer",25,"Business travel","Eco",1053,"2","2","2","3","2","2","2","2","4","2","3","1","2","2",6,1,"neutral or dissatisfied"
"Female","Loyal Customer",66,"Business travel","Business",216,"2","5","5","5","3","4","3","5","5","4","2","3","5","4",0,0,"neutral or dissatisfied"
"Female","disloyal Customer",21,"Business travel","Eco",859,"4","4","4","3","5","4","5","5","4","5","4","4","4","5",0,0,"satisfied"
"Male","Loyal Customer",54,"Personal Travel","Eco",541,"4","5","4","5","1","4","1","1","3","4","5","3","4","1",0,33,"neutral or dissatisfied"
"Female","Loyal Customer",53,"Business travel","Business",896,"3","3","3","3","1","4","1","4","4","4","4","1","4","2",6,5,"satisfied"
"Female","Loyal Customer",41,"Personal Travel","Eco",73,"1","1","1","1","4","1","4","4","2","4","1","1","2","4",0,18,"neutral or dissatisfied"
"Male","Loyal Customer",41,"Personal Travel","Eco",109,"3","2","3","4","4","3","3","4","4","5","3","4","4","4",30,31,"neutral or dissatisfied"
"Female","Loyal Customer",62,"Personal Travel","Eco",542,"4","4","4","4","3","3","2","1","1","4","1","4","1","1",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",42,"Business travel","Business",1598,"3","3","3","3","5","4","4","4","4","4","4","4","4","4",0,1,"satisfied"
"Male","Loyal Customer",65,"Business travel","Business",479,"2","2","5","2","3","5","4","5","5","5","5","5","5","3",11,13,"satisfied"
"Female","disloyal Customer",45,"Business travel","Business",585,"3","3","3","4","1","3","1","1","3","4","5","5","5","1",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",24,"Business travel","Business",2357,"2","2","2","2","4","4","5","4","3","2","5","3","4","4",0,0,"satisfied"
"Female","Loyal Customer",30,"Business travel","Business",101,"0","5","0","5","1","1","1","1","1","2","5","1","3","1",0,0,"satisfied"
"Male","Loyal Customer",49,"Business travel","Eco",1027,"3","4","4","4","2","3","2","2","2","1","3","1","3","2",0,4,"neutral or dissatisfied"
"Female","Loyal Customer",49,"Business travel","Eco Plus",1235,"5","3","3","3","5","2","3","5","5","5","5","1","5","3",1,0,"satisfied"
"Male","Loyal Customer",57,"Business travel","Business",312,"1","1","1","1","1","3","3","1","1","1","1","1","1","3",79,75,"neutral or dissatisfied"
"Male","Loyal Customer",22,"Personal Travel","Eco",337,"0","5","0","1","5","0","5","5","5","2","4","5","5","5",0,0,"satisfied"
"Male","Loyal Customer",35,"Business travel","Business",1610,"4","4","4","4","3","5","5","4","4","4","4","3","4","5",20,18,"satisfied"
"Female","Loyal Customer",54,"Business travel","Eco",318,"4","2","2","2","1","4","5","4","4","4","4","1","4","1",0,0,"satisfied"
"Female","disloyal Customer",39,"Business travel","Eco",1135,"2","2","2","3","1","2","1","1","2","3","3","3","3","1",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",60,"Business travel","Business",2575,"2","2","2","2","3","4","4","4","4","4","4","4","4","3",20,29,"satisfied"
"Female","Loyal Customer",52,"Personal Travel","Eco",641,"2","4","1","3","2","4","4","4","4","1","4","4","4","4",23,9,"neutral or dissatisfied"
"Female","Loyal Customer",52,"Personal Travel","Eco Plus",280,"1","5","1","4","2","4","4","5","5","1","5","3","5","3",36,103,"neutral or dissatisfied"
"Female","Loyal Customer",25,"Business travel","Business",459,"3","1","1","1","3","4","3","3","4","2","2","3","2","3",0,32,"neutral or dissatisfied"
"Female","Loyal Customer",16,"Personal Travel","Eco",408,"2","1","2","4","2","2","2","2","1","1","3","1","3","2",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",17,"Personal Travel","Eco",950,"3","2","3","4","3","5","5","3","1","3","3","5","1","5",118,134,"neutral or dissatisfied"
"Female","Loyal Customer",57,"Business travel","Business",3161,"5","5","5","5","3","4","4","5","5","5","5","3","5","3",0,0,"satisfied"
"Female","Loyal Customer",43,"Business travel","Business",2673,"1","1","1","1","3","2","3","1","1","1","1","3","1","3",53,37,"neutral or dissatisfied"
"Female","Loyal Customer",43,"Business travel","Eco",372,"2","3","3","3","3","3","3","2","2","2","2","2","2","3",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",51,"Business travel","Business",2129,"2","2","2","2","5","5","4","5","5","5","5","5","5","5",0,0,"satisfied"
"Male","Loyal Customer",45,"Business travel","Business",3516,"4","4","4","4","4","3","3","4","4","4","4","2","4","1",0,0,"neutral or dissatisfied"
"Male","disloyal Customer",22,"Business travel","Eco",147,"3","2","3","3","4","3","5","4","2","1","3","3","4","4",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",49,"Business travel","Business",2809,"4","2","2","2","2","4","4","4","4","3","4","1","4","1",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",49,"Business travel","Business",2279,"4","4","4","4","5","5","5","4","4","4","4","3","4","5",37,33,"satisfied"
"Female","Loyal Customer",42,"Personal Travel","Eco",268,"3","2","3","3","5","4","3","2","2","3","2","1","2","4",13,10,"neutral or dissatisfied"
"Female","disloyal Customer",30,"Business travel","Business",842,"3","3","3","4","4","3","4","4","3","4","5","5","5","4",14,3,"neutral or dissatisfied"
"Female","Loyal Customer",8,"Personal Travel","Eco",691,"3","4","3","3","3","3","3","3","3","2","4","5","5","3",0,2,"neutral or dissatisfied"
"Female","disloyal Customer",22,"Business travel","Eco",503,"4","3","4","2","5","4","5","5","3","2","5","2","4","5",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",34,"Business travel","Business",102,"5","5","5","5","2","3","5","5","5","5","3","2","5","5",0,4,"satisfied"
"Male","Loyal Customer",55,"Personal Travel","Eco",1012,"4","5","4","2","5","4","5","5","4","2","5","3","4","5",0,0,"satisfied"
"Female","Loyal Customer",30,"Personal Travel","Eco Plus",409,"2","5","2","1","2","2","2","2","5","3","5","4","5","2",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",46,"Business travel","Business",2938,"4","4","4","4","5","4","4","4","4","4","4","5","4","5",0,0,"satisfied"
"Male","Loyal Customer",23,"Personal Travel","Eco",304,"3","5","3","3","5","3","5","5","5","4","4","5","5","5",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",57,"Business travel","Business",3904,"3","3","3","3","4","4","4","4","3","4","4","4","3","4",28,0,"satisfied"
"Female","disloyal Customer",24,"Business travel","Eco",125,"3","3","3","4","1","3","4","1","2","4","3","2","3","1",6,12,"neutral or dissatisfied"
"Female","Loyal Customer",45,"Business travel","Business",347,"4","4","4","4","2","4","5","4","4","4","4","5","4","4",1,0,"satisfied"
"Male","Loyal Customer",32,"Personal Travel","Eco",2465,"1","4","1","1","4","1","4","4","4","3","4","2","3","4",0,10,"neutral or dissatisfied"
"Male","Loyal Customer",43,"Business travel","Business",1662,"2","2","3","2","4","2","5","5","5","5","5","5","5","5",0,0,"satisfied"
"Male","disloyal Customer",38,"Business travel","Eco",321,"4","0","4","1","3","4","3","3","2","4","1","1","1","3",0,0,"neutral or dissatisfied"
"Male","disloyal Customer",30,"Business travel","Business",337,"2","2","2","3","5","2","3","5","3","1","3","3","3","5",0,21,"neutral or dissatisfied"
"Female","Loyal Customer",30,"Business travel","Business",397,"5","5","5","5","4","4","4","4","5","4","3","2","5","4",9,14,"satisfied"
"Male","Loyal Customer",28,"Personal Travel","Eco",606,"4","4","4","3","4","4","4","4","5","4","4","3","5","4",35,29,"satisfied"
"Male","Loyal Customer",68,"Personal Travel","Business",2248,"4","4","4","2","5","4","4","4","4","4","4","1","4","3",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",60,"Personal Travel","Eco",1005,"2","4","2","1","2","2","1","3","3","2","3","4","3","5",19,35,"neutral or dissatisfied"
"Female","Loyal Customer",39,"Personal Travel","Business",163,"3","5","3","2","3","4","5","5","5","3","5","3","5","3",2,7,"neutral or dissatisfied"
"Female","disloyal Customer",20,"Business travel","Eco",1024,"3","3","3","4","5","3","5","5","1","5","3","1","4","5",12,34,"neutral or dissatisfied"
"Female","disloyal Customer",21,"Business travel","Eco",402,"5","2","5","1","4","2","4","4","3","2","5","5","5","4",0,0,"satisfied"
"Female","Loyal Customer",63,"Personal Travel","Eco",2288,"3","5","3","2","5","3","3","1","1","3","1","3","1","2",3,5,"neutral or dissatisfied"
"Male","Loyal Customer",46,"Business travel","Eco",451,"5","5","5","5","5","5","5","5","5","1","1","3","2","5",88,74,"satisfied"
"Male","disloyal Customer",23,"Business travel","Eco",655,"3","5","3","1","2","3","2","2","4","2","4","4","4","2",5,10,"neutral or dissatisfied"
"Male","Loyal Customer",55,"Business travel","Business",3530,"5","5","5","5","2","5","5","4","4","4","4","3","4","4",0,0,"satisfied"
"Male","Loyal Customer",39,"Business travel","Eco",395,"4","2","2","2","4","4","4","4","1","4","3","1","3","4",1,0,"satisfied"
"Male","Loyal Customer",43,"Business travel","Business",1721,"3","3","3","3","4","4","4","3","3","3","3","4","3","4",24,35,"satisfied"
"Male","Loyal Customer",63,"Personal Travel","Eco",581,"3","4","2","3","3","2","3","3","5","5","4","5","4","3",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",61,"Business travel","Eco",212,"5","2","5","2","2","4","1","5","5","5","5","3","5","1",0,0,"satisfied"
"Female","disloyal Customer",20,"Business travel","Eco",481,"2","3","2","4","1","2","1","1","1","5","3","2","4","1",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",33,"Personal Travel","Eco Plus",296,"4","5","5","1","5","5","5","5","4","2","1","1","4","5",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",14,"Personal Travel","Eco",862,"4","5","3","3","5","3","5","5","3","4","5","4","5","5",47,75,"neutral or dissatisfied"
"Male","Loyal Customer",58,"Personal Travel","Eco",919,"1","4","1","1","3","1","3","3","3","3","4","3","5","3",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",62,"Personal Travel","Eco",1014,"2","3","2","4","5","2","5","5","4","2","4","1","3","5",33,27,"neutral or dissatisfied"
"Male","Loyal Customer",70,"Personal Travel","Eco",846,"1","5","1","2","4","1","4","4","4","3","4","5","4","4",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",60,"Business travel","Eco",1222,"4","3","3","3","5","1","1","4","4","4","4","5","4","1",0,0,"satisfied"
"Female","Loyal Customer",50,"Business travel","Business",328,"3","3","3","3","5","4","4","5","5","5","5","5","5","3",2,9,"satisfied"
"Female","Loyal Customer",10,"Personal Travel","Eco",575,"2","4","2","3","2","2","2","2","3","4","4","5","5","2",0,14,"neutral or dissatisfied"
"Male","Loyal Customer",25,"Business travel","Business",853,"5","5","5","5","4","4","4","4","1","5","3","1","5","4",41,33,"satisfied"
"Female","Loyal Customer",9,"Personal Travel","Eco",483,"2","4","2","3","2","2","4","2","3","5","4","5","4","2",48,48,"neutral or dissatisfied"
"Female","Loyal Customer",29,"Personal Travel","Eco",1138,"1","5","1","2","4","1","4","4","5","5","5","5","5","4",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",42,"Personal Travel","Eco",332,"3","2","3","4","5","3","5","5","1","3","4","1","4","5",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",57,"Business travel","Business",1121,"4","4","4","4","4","4","5","2","2","2","2","3","2","4",0,0,"satisfied"
"Male","Loyal Customer",54,"Business travel","Eco",319,"5","1","1","1","5","5","5","5","4","1","5","3","1","5",7,0,"satisfied"
"Female","Loyal Customer",51,"Business travel","Business",2139,"3","3","3","3","4","4","4","5","5","5","5","5","5","3",10,0,"satisfied"
"Male","Loyal Customer",54,"Personal Travel","Eco",669,"1","4","1","5","3","1","3","3","4","5","5","4","4","3",0,6,"neutral or dissatisfied"
"Female","Loyal Customer",46,"Personal Travel","Eco",1119,"2","5","2","4","3","5","5","1","1","2","1","3","1","4",14,21,"neutral or dissatisfied"
"Male","disloyal Customer",26,"Business travel","Eco",306,"2","0","1","1","3","1","3","3","3","2","4","1","5","3",0,0,"neutral or dissatisfied"
"Female","disloyal Customer",66,"Business travel","Business",429,"4","4","4","4","3","4","5","3","5","3","5","4","4","3",60,59,"satisfied"
"Female","disloyal Customer",36,"Business travel","Eco",143,"2","1","2","3","3","2","3","3","1","3","2","2","3","3",23,23,"neutral or dissatisfied"
